,GDP (Billions USD),Unemployment Rate (%),Producer Price Index (PPI),Retail Sales (Millions USD),Industrial Production Index,Housing Starts (Thousands),Personal Consumption Expenditures (PCE),Trade Balance (Billions USD),M2 Money Supply (Billions USD),Consumer Confidence Index
1996-02-01,,5.5,126.2,212008.0,73.6207,1491.0,5132.8,-7319.0,,88.5
1996-02-05,,,,,,,,,3651.7,
1996-02-12,,,,,,,,,3655.8,
1996-02-19,,,,,,,,,3660.6,
1996-02-26,,,,,,,,,3667.4,
1996-03-01,,5.5,126.4,213891.0,73.5141,1424.0,5173.3,-7756.0,,93.7
1996-03-04,,,,,,,,,3681.6,
1996-03-11,,,,,,,,,3680.6,
1996-03-18,,,,,,,,,3687.8,
1996-03-25,,,,,,,,,3689.2,
1996-04-01,8032.84,5.6,127.4,214676.0,74.2491,1516.0,5208.0,-8744.0,3695.5,92.7
1996-04-08,,,,,,,,,3696.5,
1996-04-15,,,,,,,,,3705.3,
1996-04-22,,,,,,,,,3695.5,
1996-04-29,,,,,,,,,3691.8,
1996-05-01,,5.6,128.1,216299.0,74.8142,1504.0,5223.8,-9259.0,,89.4
1996-05-06,,,,,,,,,3706.4,
1996-05-13,,,,,,,,,3711.0,
1996-05-20,,,,,,,,,3710.0,
1996-05-27,,,,,,,,,3708.2,
1996-06-01,,5.3,128.0,216068.0,75.3726,1467.0,5229.8,-7460.0,,92.4
1996-06-03,,,,,,,,,3713.5,
1996-06-10,,,,,,,,,3721.6,
1996-06-17,,,,,,,,,3722.2,
1996-06-24,,,,,,,,,3720.8,
1996-07-01,8131.408,5.5,128.0,216332.0,75.3738,1472.0,5251.9,-10132.0,3730.4,94.7
1996-07-08,,,,,,,,,3730.1,
1996-07-15,,,,,,,,,3734.5,
1996-07-22,,,,,,,,,3740.1,
1996-07-29,,,,,,,,,3741.4,
1996-08-01,,5.1,128.3,216358.0,75.7557,1557.0,5275.0,-10357.0,,95.3
1996-08-05,,,,,,,,,3744.6,
1996-08-12,,,,,,,,,3744.6,
1996-08-19,,,,,,,,,3742.9,
1996-08-26,,,,,,,,,3745.3,
1996-09-01,,5.2,128.2,219256.0,76.2302,1475.0,5296.6,-10195.0,,94.7
1996-09-02,,,,,,,,,3743.2,
1996-09-09,,,,,,,,,3757.4,
1996-09-16,,,,,,,,,3752.3,
1996-09-23,,,,,,,,,3749.2,
1996-09-30,,,,,,,,,3758.1,
1996-10-01,8259.771,5.2,128.0,221060.0,76.2157,1392.0,5328.5,-6635.0,,96.5
1996-10-07,,,,,,,,,3764.0,
1996-10-14,,,,,,,,,3769.1,
1996-10-21,,,,,,,,,3774.6,
1996-10-28,,,,,,,,,3778.9,
1996-11-01,,5.4,128.2,220963.0,76.8973,1489.0,5351.2,-7268.0,,99.2
1996-11-04,,,,,,,,,3783.5,
1996-11-11,,,,,,,,,3791.4,
1996-11-18,,,,,,,,,3794.4,
1996-11-25,,,,,,,,,3797.7,
1996-12-01,,5.4,129.1,221991.0,77.3772,1370.0,5378.6,-10475.0,,96.9
1996-12-02,,,,,,,,,3806.7,
1996-12-09,,,,,,,,,3817.6,
1996-12-16,,,,,,,,,3816.3,
1996-12-23,,,,,,,,,3822.0,
1996-12-30,,,,,,,,,3820.0,
1997-01-01,8362.655,5.3,129.7,223481.0,77.5135,1355.0,5411.1,-11269.0,,97.4
1997-01-06,,,,,,,,,3830.4,
1997-01-13,,,,,,,,,3833.9,
1997-01-20,,,,,,,,,3834.9,
1997-01-27,,,,,,,,,3836.7,
1997-02-01,,5.2,128.5,225422.0,78.4255,1486.0,5434.0,-9776.0,,99.7
1997-02-03,,,,,,,,,3838.2,
1997-02-10,,,,,,,,,3847.7,
1997-02-17,,,,,,,,,3847.2,
1997-02-24,,,,,,,,,3846.3,
1997-03-01,,5.2,127.3,226161.0,78.9197,1457.0,5454.2,-8383.0,,100.0
1997-03-03,,,,,,,,,3848.5,
1997-03-10,,,,,,,,,3861.8,
1997-03-17,,,,,,,,,3860.6,
1997-03-24,,,,,,,,,3862.0,
1997-03-31,,,,,,,,,3865.7,
1997-04-01,8518.825,5.1,127.0,224615.0,78.9848,1492.0,5459.3,-8086.0,,101.4
1997-04-07,,,,,,,,,3876.2,
1997-04-14,,,,,,,,,3877.6,
1997-04-21,,,,,,,,,3879.2,
1997-04-28,,,,,,,,,3875.0,
1997-05-01,,4.9,127.4,222929.0,79.4296,1442.0,5460.2,-8394.0,,103.2
1997-05-05,,,,,,,,,3878.0,
1997-05-12,,,,,,,,,3884.6,
1997-05-19,,,,,,,,,3887.5,
1997-05-26,,,,,,,,,3897.6,
1997-06-01,,5.0,127.2,226057.0,79.7971,1494.0,5494.2,-7154.0,,104.5
1997-06-02,,,,,,,,,3897.4,
1997-06-09,,,,,,,,,3909.3,
1997-06-16,,,,,,,,,3902.8,
1997-06-23,,,,,,,,,3904.0,
1997-06-30,,,,,,,,,3910.3,
1997-07-01,8662.823,4.9,126.9,228703.0,80.4666,1437.0,5548.8,-7033.0,,107.1
1997-07-07,,,,,,,,,3922.6,
1997-07-14,,,,,,,,,3920.8,
1997-07-21,,,,,,,,,3922.0,
1997-07-28,,,,,,,,,3924.3,
1997-08-01,,4.8,127.2,229309.0,81.2825,1390.0,5587.0,-8743.0,,104.4
1997-08-04,,,,,,,,,3937.7,
1997-08-11,,,,,,,,,3949.1,
1997-08-18,,,,,,,,,3957.3,
1997-08-25,,,,,,,,,3963.7,
1997-09-01,,4.9,127.5,230312.0,82.0327,1546.0,5601.7,-9269.0,3973.1,106.0
1997-09-08,,,,,,,,,3973.2,
1997-09-15,,,,,,,,,3971.1,
1997-09-22,,,,,,,,,3970.8,
1997-09-29,,,,,,,,,3975.3,
1997-10-01,8765.907,4.7,127.8,229836.0,82.7656,1520.0,5637.7,-9089.0,,105.6
1997-10-06,,,,,,,,,3986.9,
1997-10-13,,,,,,,,,3987.7,
1997-10-20,,,,,,,,,3994.1,
1997-10-27,,,,,,,,,3993.9,
1997-11-01,,4.6,127.9,230440.0,83.427,1510.0,5661.1,-9786.0,,107.2
1997-11-03,,,,,,,,,4002.5,
1997-11-10,,,,,,,,,4011.3,
1997-11-17,,,,,,,,,4010.6,
1997-11-24,,,,,,,,,4017.0,
1997-12-01,,4.7,126.8,231181.0,83.784,1566.0,5692.1,-11289.0,4027.3,102.1
1997-12-08,,,,,,,,,4028.8,
1997-12-15,,,,,,,,,4026.7,
1997-12-22,,,,,,,,,4031.2,
1997-12-29,,,,,,,,,4039.4,
1998-01-01,8866.48,4.6,125.4,231587.0,84.1564,1525.0,5689.9,-10776.0,,106.6
1998-01-05,,,,,,,,,4055.1,
1998-01-12,,,,,,,,,4052.9,
1998-01-19,,,,,,,,,4052.2,
1998-01-26,,,,,,,,,4057.5,
1998-02-01,,4.6,125.0,231684.0,84.3066,1584.0,5723.8,-11564.0,,110.4
1998-02-02,,,,,,,,,4065.7,
1998-02-09,,,,,,,,,4080.4,
1998-02-16,,,,,,,,,4086.0,
1998-02-23,,,,,,,,,4096.0,
1998-03-01,,4.7,124.7,233083.0,84.342,1567.0,5750.3,-12880.0,,106.5
1998-03-02,,,,,,,,,4104.1,
1998-03-09,,,,,,,,,4116.1,
1998-03-16,,,,,,,,,4117.0,
1998-03-23,,,,,,,,,4112.4,
1998-03-30,,,,,,,,,4111.8,
1998-04-01,8969.699,4.3,124.9,235986.0,84.6339,1540.0,5788.1,-13940.0,,108.7
1998-04-06,,,,,,,,,4135.2,
1998-04-13,,,,,,,,,4138.8,
1998-04-20,,,,,,,,,4143.3,
1998-04-27,,,,,,,,,4138.4,
1998-05-01,,4.4,125.1,237075.0,85.1867,1536.0,5837.9,-14202.0,,106.5
1998-05-04,,,,,,,,,4150.3,
1998-05-11,,,,,,,,,4158.8,
1998-05-18,,,,,,,,,4162.5,
1998-05-25,,,,,,,,,4166.5,
1998-06-01,,4.5,124.8,238971.0,84.6809,1641.0,5871.7,-13247.0,4180.0,105.6
1998-06-08,,,,,,,,,4183.8,
1998-06-15,,,,,,,,,4185.1,
1998-06-22,,,,,,,,,4182.7,
1998-06-29,,,,,,,,,4181.7,
1998-07-01,9121.097,4.5,124.9,237411.0,84.3445,1698.0,5890.0,-13949.0,,105.2
1998-07-06,,,,,,,,,4207.9,
1998-07-13,,,,,,,,,4197.9,
1998-07-20,,,,,,,,,4202.4,
1998-07-27,,,,,,,,,4203.5,
1998-08-01,,4.5,124.2,236379.0,86.0816,1614.0,5925.0,-16028.0,,104.4
1998-08-03,,,,,,,,,4210.7,
1998-08-10,,,,,,,,,4227.3,
1998-08-17,,,,,,,,,4226.0,
1998-08-24,,,,,,,,,4230.3,
1998-08-31,,,,,,,,,4238.9,
1998-09-01,,4.6,123.8,238550.0,86.0023,1582.0,5965.6,-14820.0,,100.9
1998-09-07,,,,,,,,,4259.9,
1998-09-14,,,,,,,,,4267.8,
1998-09-21,,,,,,,,,4272.3,
1998-09-28,,,,,,,,,4265.9,
1998-10-01,9293.991,4.5,124.0,242549.0,86.591,1715.0,5998.8,-14815.0,,97.4
1998-10-05,,,,,,,,,4284.7,
1998-10-12,,,,,,,,,4296.0,
1998-10-19,,,,,,,,,4307.6,
1998-10-26,,,,,,,,,4321.8,
1998-11-01,,4.4,123.6,244291.0,86.5115,1660.0,6015.4,-15173.0,,102.7
1998-11-02,,,,,,,,,4328.7,
1998-11-09,,,,,,,,,4345.6,
1998-11-16,,,,,,,,,4349.0,
1998-11-23,,,,,,,,,4347.4,
1998-11-30,,,,,,,,,4349.6,
1998-12-01,,4.4,122.8,246530.0,86.8615,1792.0,6070.5,-14745.0,,100.5
1998-12-07,,,,,,,,,4368.6,
1998-12-14,,,,,,,,,4370.5,
1998-12-21,,,,,,,,,4374.7,
1998-12-28,,,,,,,,,4380.4,
1999-01-01,9411.682,4.3,122.9,246868.0,87.2205,1748.0,6073.9,-15876.0,,103.9
1999-01-04,,,,,,,,,4394.7,
1999-01-11,,,,,,,,,4398.9,
1999-01-18,,,,,,,,,4402.8,
1999-01-25,,,,,,,,,4399.4,
1999-02-01,,4.4,122.3,249520.0,87.726,1670.0,6099.2,-18468.0,4417.8,108.1
1999-02-08,,,,,,,,,4420.4,
1999-02-15,,,,,,,,,4425.9,
1999-02-22,,,,,,,,,4429.4,
1999-03-01,,4.2,122.6,250667.0,87.9125,1710.0,6133.0,-17719.0,4428.9,105.7
1999-03-08,,,,,,,,,4431.5,
1999-03-15,,,,,,,,,4427.7,
1999-03-22,,,,,,,,,4430.4,
1999-03-29,,,,,,,,,4435.9,
1999-04-01,9526.21,4.3,123.6,252477.0,88.1082,1553.0,6199.5,-17946.0,,104.6
1999-04-05,,,,,,,,,4451.7,
1999-04-12,,,,,,,,,4455.1,
1999-04-19,,,,,,,,,4463.8,
1999-04-26,,,,,,,,,4469.8,
1999-05-01,,4.2,124.7,254735.0,88.6483,1611.0,6232.1,-20046.0,,106.8
1999-05-03,,,,,,,,,4465.7,
1999-05-10,,,,,,,,,4482.9,
1999-05-17,,,,,,,,,4482.9,
1999-05-24,,,,,,,,,4488.1,
1999-05-31,,,,,,,,,4499.2,
1999-06-01,,4.3,125.2,255449.0,88.5903,1559.0,6260.3,-22892.0,,107.3
1999-06-07,,,,,,,,,4503.7,
1999-06-14,,,,,,,,,4505.4,
1999-06-21,,,,,,,,,4510.7,
1999-06-28,,,,,,,,,4509.7,
1999-07-01,9686.626,4.3,125.7,257456.0,89.1098,1669.0,6287.6,-23100.0,,106.0
1999-07-05,,,,,,,,,4517.1,
1999-07-12,,,,,,,,,4535.1,
1999-07-19,,,,,,,,,4534.7,
1999-07-26,,,,,,,,,4543.4,
1999-08-01,,4.2,126.9,260230.0,89.5007,1648.0,6331.9,-22626.0,,104.5
1999-08-02,,,,,,,,,4544.0,
1999-08-09,,,,,,,,,4552.4,
1999-08-16,,,,,,,,,4556.2,
1999-08-23,,,,,,,,,4552.2,
1999-08-30,,,,,,,,,4551.1,
1999-09-01,,4.2,128.0,261317.0,89.1304,1635.0,6386.5,-22699.0,,107.2
1999-09-06,,,,,,,,,4561.7,
1999-09-13,,,,,,,,,4565.2,
1999-09-20,,,,,,,,,4572.9,
1999-09-27,,,,,,,,,4569.4,
1999-10-01,9900.169,4.1,127.7,261818.0,90.2709,1608.0,6411.4,-23372.0,,103.2
1999-10-04,,,,,,,,,4580.2,
1999-10-11,,,,,,,,,4586.5,
1999-10-18,,,,,,,,,4589.1,
1999-10-25,,,,,,,,,4596.0,
1999-11-01,,4.1,128.3,264965.0,90.7528,1648.0,6448.7,-25126.0,4608.4,107.2
1999-11-08,,,,,,,,,4605.6,
1999-11-15,,,,,,,,,4611.4,
1999-11-22,,,,,,,,,4615.7,
1999-11-29,,,,,,,,,4612.9,
1999-12-01,,4.0,127.8,269863.0,91.4784,1708.0,6541.0,-25939.0,,105.4
1999-12-06,,,,,,,,,4625.0,
1999-12-13,,,,,,,,,4629.6,
1999-12-20,,,,,,,,,4639.9,
1999-12-27,,,,,,,,,4650.0,
2000-01-01,10002.179,4.0,128.3,268044.0,91.4092,1636.0,6542.9,-27131.0,,112.0
2000-01-03,,,,,,,,,4665.1,
2000-01-10,,,,,,,,,4669.5,
2000-01-17,,,,,,,,,4671.6,
2000-01-24,,,,,,,,,4678.9,
2000-01-31,,,,,,,,,4679.6,
2000-02-01,,4.1,129.8,272020.0,91.7245,1737.0,6625.3,-29794.0,,111.3
2000-02-07,,,,,,,,,4686.1,
2000-02-14,,,,,,,,,4679.2,
2000-02-21,,,,,,,,,4678.6,
2000-02-28,,,,,,,,,4678.3,
2000-03-01,,4.0,130.8,275192.0,92.083,1604.0,6686.5,-30557.0,,107.1
2000-03-06,,,,,,,,,4690.2,
2000-03-13,,,,,,,,,4697.8,
2000-03-20,,,,,,,,,4716.0,
2000-03-27,,,,,,,,,4723.6,
2000-04-01,10247.72,3.8,130.7,271046.0,92.6659,1626.0,6679.1,-28598.0,,109.2
2000-04-03,,,,,,,,,4740.0,
2000-04-10,,,,,,,,,4763.8,
2000-04-17,,,,,,,,,4772.8,
2000-04-24,,,,,,,,,4779.2,
2000-05-01,,4.0,131.6,271394.0,92.9347,1575.0,6709.7,-29165.0,4767.1,110.7
2000-05-08,,,,,,,,,4746.7,
2000-05-15,,,,,,,,,4752.5,
2000-05-22,,,,,,,,,4757.3,
2000-05-29,,,,,,,,,4759.9,
2000-06-01,,4.0,133.8,273422.0,93.0018,1559.0,6746.9,-30405.0,,106.4
2000-06-05,,,,,,,,,4771.8,
2000-06-12,,,,,,,,,4774.6,
2000-06-19,,,,,,,,,4771.0,
2000-06-26,,,,,,,,,4773.4,
2000-07-01,10318.165,4.0,133.7,272630.0,92.8373,1463.0,6768.5,-31252.0,,108.3
2000-07-03,,,,,,,,,4779.5,
2000-07-10,,,,,,,,,4789.7,
2000-07-17,,,,,,,,,4786.4,
2000-07-24,,,,,,,,,4795.3,
2000-07-31,,,,,,,,,4799.1,
2000-08-01,,4.1,132.9,272918.0,92.591,1541.0,6802.8,-29931.0,,107.3
2000-08-07,,,,,,,,,4807.2,
2000-08-14,,,,,,,,,4807.8,
2000-08-21,,,,,,,,,4824.0,
2000-08-28,,,,,,,,,4829.8,
2000-09-01,,3.9,134.7,277548.0,92.9827,1507.0,6888.6,-33333.0,,106.8
2000-09-04,,,,,,,,,4841.2,
2000-09-11,,,,,,,,,4851.6,
2000-09-18,,,,,,,,,4856.5,
2000-09-25,,,,,,,,,4857.3,
2000-10-01,10435.744,3.9,135.4,276927.0,92.64,1549.0,6893.8,-33378.0,,105.8
2000-10-02,,,,,,,,,4867.4,
2000-10-09,,,,,,,,,4872.2,
2000-10-16,,,,,,,,,4872.6,
2000-10-23,,,,,,,,,4871.9,
2000-10-30,,,,,,,,,4869.6,
2000-11-01,,3.9,135.0,276029.0,92.6604,1551.0,6909.8,-32723.0,,107.6
2000-11-06,,,,,,,,,4872.8,
2000-11-13,,,,,,,,,4874.4,
2000-11-20,,,,,,,,,4879.5,
2000-11-27,,,,,,,,,4894.5,
2000-12-01,,3.9,136.2,275791.0,92.3457,1532.0,6952.2,-33420.0,,98.4
2000-12-04,,,,,,,,,4902.3,
2000-12-11,,,,,,,,,4908.7,
2000-12-18,,,,,,,,,4922.3,
2000-12-25,,,,,,,,,4937.6,
2001-01-01,10470.231,4.2,140.0,278834.0,91.8908,1600.0,6987.4,-35202.0,4961.8,94.7
2001-01-08,,,,,,,,,4967.3,
2001-01-15,,,,,,,,,4979.0,
2001-01-22,,,,,,,,,4985.6,
2001-01-29,,,,,,,,,4978.2,
2001-02-01,,4.2,137.4,278773.0,91.2851,1625.0,7001.8,-29301.0,,90.6
2001-02-05,,,,,,,,,4998.1,
2001-02-12,,,,,,,,,5006.7,
2001-02-19,,,,,,,,,5015.0,
2001-02-26,,,,,,,,,5032.5,
2001-03-01,,4.3,135.9,276450.0,91.0585,1590.0,6996.7,-32812.0,,91.5
2001-03-05,,,,,,,,,5054.7,
2001-03-12,,,,,,,,,5061.1,
2001-03-19,,,,,,,,,5066.8,
2001-03-26,,,,,,,,,5086.9,
2001-04-01,10599.0,4.4,136.4,280808.0,90.7384,1649.0,7004.2,-30521.0,,88.4
2001-04-02,,,,,,,,,5108.9,
2001-04-09,,,,,,,,,5130.3,
2001-04-16,,,,,,,,,5146.8,
2001-04-23,,,,,,,,,5152.2,
2001-04-30,,,,,,,,,5136.3,
2001-05-01,,4.3,136.8,281496.0,90.2607,1605.0,7052.8,-27095.0,,92.0
2001-05-07,,,,,,,,,5129.9,
2001-05-14,,,,,,,,,5129.3,
2001-05-21,,,,,,,,,5140.3,
2001-05-28,,,,,,,,,5135.8,
2001-06-01,,4.5,135.5,280401.0,89.7811,1636.0,7069.7,-29151.0,,92.6
2001-06-04,,,,,,,,,5168.9,
2001-06-11,,,,,,,,,5173.3,
2001-06-18,,,,,,,,,5183.6,
2001-06-25,,,,,,,,,5180.5,
2001-07-01,10598.02,4.6,133.4,279504.0,89.2352,1670.0,7082.3,-29902.0,,92.4
2001-07-02,,,,,,,,,5194.4,
2001-07-09,,,,,,,,,5198.3,
2001-07-16,,,,,,,,,5211.5,
2001-07-23,,,,,,,,,5212.6,
2001-07-30,,,,,,,,,5220.1,
2001-08-01,,4.9,133.4,281413.0,89.157,1567.0,7121.7,-28094.0,,91.5
2001-08-06,,,,,,,,,5229.7,
2001-08-13,,,,,,,,,5238.8,
2001-08-20,,,,,,,,,5244.6,
2001-08-27,,,,,,,,,5250.0,
2001-09-01,,5.0,133.3,276084.0,88.6749,1562.0,7007.0,-30217.0,,81.8
2001-09-03,,,,,,,,,5262.4,
2001-09-10,,,,,,,,,5284.3,
2001-09-17,,,,,,,,,5455.0,
2001-09-24,,,,,,,,,5373.4,
2001-10-01,10660.465,5.3,130.3,294540.0,88.4051,1540.0,7212.9,-30588.0,5348.6,82.7
2001-10-08,,,,,,,,,5339.5,
2001-10-15,,,,,,,,,5338.8,
2001-10-22,,,,,,,,,5341.0,
2001-10-29,,,,,,,,,5348.5,
2001-11-01,,5.5,129.8,287111.0,87.886,1602.0,7182.3,-30003.0,,83.9
2001-11-05,,,,,,,,,5369.5,
2001-11-12,,,,,,,,,5376.6,
2001-11-19,,,,,,,,,5385.6,
2001-11-26,,,,,,,,,5402.5,
2001-12-01,,5.7,128.1,283705.0,87.8518,1568.0,7166.7,-27488.0,,88.8
2001-12-03,,,,,,,,,5407.9,
2001-12-10,,,,,,,,,5432.4,
2001-12-17,,,,,,,,,5449.8,
2001-12-24,,,,,,,,,5438.0,
2001-12-31,,,,,,,,,5456.7,
2002-01-01,10783.5,5.7,128.5,283508.0,88.4634,1698.0,7184.6,-29678.0,,93.0
2002-01-07,,,,,,,,,5455.3,
2002-01-14,,,,,,,,,5457.0,
2002-01-21,,,,,,,,,5457.5,
2002-01-28,,,,,,,,,5466.1,
2002-02-01,,5.7,128.4,285054.0,88.4578,1829.0,7225.2,-32501.0,,90.7
2002-02-04,,,,,,,,,5480.2,
2002-02-11,,,,,,,,,5485.9,
2002-02-18,,,,,,,,,5488.7,
2002-02-25,,,,,,,,,5497.1,
2002-03-01,,5.7,129.8,284262.0,89.1265,1642.0,7243.4,-31161.0,,95.7
2002-03-04,,,,,,,,,5502.9,
2002-03-11,,,,,,,,,5503.2,
2002-03-18,,,,,,,,,5501.7,
2002-03-25,,,,,,,,,5495.9,
2002-04-01,10887.46,5.9,130.8,288833.0,89.5507,1592.0,7312.5,-33965.0,5508.6,93.0
2002-04-08,,,,,,,,,5494.8,
2002-04-15,,,,,,,,,5506.7,
2002-04-22,,,,,,,,,5501.9,
2002-04-29,,,,,,,,,5503.1,
2002-05-01,,5.8,130.8,284951.0,89.9348,1764.0,7288.9,-34026.0,,96.9
2002-05-06,,,,,,,,,5515.3,
2002-05-13,,,,,,,,,5524.2,
2002-05-20,,,,,,,,,5534.1,
2002-05-27,,,,,,,,,5538.3,
2002-06-01,,5.8,130.9,287372.0,90.6736,1717.0,7322.5,-34732.0,,92.4
2002-06-03,,,,,,,,,5528.9,
2002-06-10,,,,,,,,,5542.5,
2002-06-17,,,,,,,,,5553.0,
2002-06-24,,,,,,,,,5558.5,
2002-07-01,10984.04,5.8,131.2,290385.0,90.6436,1655.0,7387.3,-33913.0,5573.4,88.1
2002-07-08,,,,,,,,,5567.7,
2002-07-15,,,,,,,,,5587.6,
2002-07-22,,,,,,,,,5601.8,
2002-07-29,,,,,,,,,5621.3,
2002-08-01,,5.7,131.5,292650.0,90.5505,1633.0,7412.6,-36385.0,,87.6
2002-08-05,,,,,,,,,5629.3,
2002-08-12,,,,,,,,,5635.7,
2002-08-19,,,,,,,,,5637.5,
2002-08-26,,,,,,,,,5641.8,
2002-09-01,,5.7,132.3,288410.0,90.6373,1804.0,7391.5,-36088.0,,86.1
2002-09-02,,,,,,,,,5648.0,
2002-09-09,,,,,,,,,5657.2,
2002-09-16,,,,,,,,,5663.2,
2002-09-23,,,,,,,,,5659.6,
2002-09-30,,,,,,,,,5674.2,
2002-10-01,11061.433,5.7,133.2,289576.0,90.3988,1648.0,7435.2,-35095.0,,80.6
2002-10-07,,,,,,,,,5681.3,
2002-10-14,,,,,,,,,5695.7,
2002-10-21,,,,,,,,,5711.8,
2002-10-28,,,,,,,,,5725.0,
2002-11-01,,5.9,133.1,291484.0,90.8947,1753.0,7463.8,-39515.0,,84.2
2002-11-04,,,,,,,,,5742.5,
2002-11-11,,,,,,,,,5751.4,
2002-11-18,,,,,,,,,5763.7,
2002-11-25,,,,,,,,,5755.0,
2002-12-01,,6.0,132.9,293947.0,90.3906,1788.0,7519.9,-43607.0,,86.7
2002-12-02,,,,,,,,,5777.2,
2002-12-09,,,,,,,,,5770.8,
2002-12-16,,,,,,,,,5784.1,
2002-12-23,,,,,,,,,5779.9,
2002-12-30,,,,,,,,,5782.1,
2003-01-01,11174.129,5.8,135.3,295248.0,91.1369,1853.0,7541.3,-41156.0,,82.4
2003-01-06,,,,,,,,,5792.5,
2003-01-13,,,,,,,,,5803.5,
2003-01-20,,,,,,,,,5817.7,
2003-01-27,,,,,,,,,5826.1,
2003-02-01,,5.9,137.6,291167.0,91.2505,1629.0,7548.6,-40082.0,,79.9
2003-02-03,,,,,,,,,5823.7,
2003-02-10,,,,,,,,,5845.6,
2003-02-17,,,,,,,,,5867.5,
2003-02-24,,,,,,,,,5842.8,
2003-03-01,,5.9,141.2,296325.0,91.0006,1726.0,7611.5,-43806.0,,77.6
2003-03-03,,,,,,,,,5848.4,
2003-03-10,,,,,,,,,5863.7,
2003-03-17,,,,,,,,,5875.2,
2003-03-24,,,,,,,,,5866.7,
2003-03-31,,,,,,,,,5877.3,
2003-04-01,11312.766,6.0,136.8,295600.0,90.4311,1643.0,7634.5,-42037.0,,86.0
2003-04-07,,,,,,,,,5886.9,
2003-04-14,,,,,,,,,5893.8,
2003-04-21,,,,,,,,,5892.4,
2003-04-28,,,,,,,,,5932.4,
2003-05-01,,6.1,136.7,296410.0,90.4,1751.0,7650.3,-41045.0,,92.1
2003-05-05,,,,,,,,,5966.3,
2003-05-12,,,,,,,,,5965.3,
2003-05-19,,,,,,,,,5957.6,
2003-05-26,,,,,,,,,5965.9,
2003-06-01,,6.3,138.0,299626.0,90.5196,1867.0,7699.6,-39696.0,,89.7
2003-06-02,,,,,,,,,5975.4,
2003-06-09,,,,,,,,,5982.1,
2003-06-16,,,,,,,,,6004.6,
2003-06-23,,,,,,,,,6007.6,
2003-06-30,,,,,,,,,6023.2,
2003-07-01,11566.669,6.2,137.7,302747.0,90.9869,1897.0,7757.0,-41321.0,,90.9
2003-07-07,,,,,,,,,6042.0,
2003-07-14,,,,,,,,,6037.2,
2003-07-21,,,,,,,,,6044.0,
2003-07-28,,,,,,,,,6054.7,
2003-08-01,,6.1,138.0,307809.0,90.7933,1833.0,7852.1,-39892.0,,89.3
2003-08-04,,,,,,,,,6095.4,
2003-08-11,,,,,,,,,6102.8,
2003-08-18,,,,,,,,,6137.8,
2003-08-25,,,,,,,,,6090.4,
2003-09-01,,6.1,138.5,305933.0,91.3819,1939.0,7853.7,-41842.0,6104.8,87.7
2003-09-08,,,,,,,,,6091.3,
2003-09-15,,,,,,,,,6085.9,
2003-09-22,,,,,,,,,6072.8,
2003-09-29,,,,,,,,,6068.2,
2003-10-01,11772.234,6.0,139.3,304809.0,91.5049,1967.0,7867.4,-41388.0,,89.6
2003-10-06,,,,,,,,,6064.7,
2003-10-13,,,,,,,,,6070.4,
2003-10-20,,,,,,,,,6074.0,
2003-10-27,,,,,,,,,6074.6,
2003-11-01,,5.8,138.9,308527.0,92.1265,2083.0,7922.6,-39898.0,,93.7
2003-11-03,,,,,,,,,6063.6,
2003-11-10,,,,,,,,,6077.1,
2003-11-17,,,,,,,,,6081.7,
2003-11-24,,,,,,,,,6069.4,
2003-12-01,,5.7,139.5,307407.0,92.1732,2057.0,7950.4,-44080.0,6080.6,92.6
2003-12-08,,,,,,,,,6071.9,
2003-12-15,,,,,,,,,6074.4,
2003-12-22,,,,,,,,,6076.3,
2003-12-29,,,,,,,,,6072.6,
2004-01-01,11923.447,5.7,141.4,309254.0,92.3268,1911.0,8007.1,-44645.0,,103.8
2004-01-05,,,,,,,,,6072.8,
2004-01-12,,,,,,,,,6070.8,
2004-01-19,,,,,,,,,6076.4,
2004-01-26,,,,,,,,,6090.5,
2004-02-01,,5.6,142.1,311393.0,92.8995,1846.0,8040.4,-44552.0,,94.4
2004-02-02,,,,,,,,,6104.4,
2004-02-09,,,,,,,,,6104.9,
2004-02-16,,,,,,,,,6124.0,
2004-02-23,,,,,,,,,6128.3,
2004-03-01,,5.8,143.1,316912.0,92.5368,1998.0,8098.8,-46754.0,6137.9,95.8
2004-03-08,,,,,,,,,6132.7,
2004-03-15,,,,,,,,,6149.6,
2004-03-22,,,,,,,,,6169.1,
2004-03-29,,,,,,,,,6176.7,
2004-04-01,12112.815,5.6,144.8,313512.0,92.8957,2003.0,8107.2,-47283.0,,94.2
2004-04-05,,,,,,,,,6182.3,
2004-04-12,,,,,,,,,6180.7,
2004-04-19,,,,,,,,,6184.4,
2004-04-26,,,,,,,,,6216.5,
2004-05-01,,5.6,146.8,318964.0,93.5845,1981.0,8176.5,-47553.0,,90.2
2004-05-03,,,,,,,,,6247.4,
2004-05-10,,,,,,,,,6268.5,
2004-05-17,,,,,,,,,6290.1,
2004-05-24,,,,,,,,,6276.7,
2004-05-31,,,,,,,,,6280.3,
2004-06-01,,5.6,147.2,314958.0,92.8651,1828.0,8157.6,-54169.0,,95.6
2004-06-07,,,,,,,,,6270.8,
2004-06-14,,,,,,,,,6280.4,
2004-06-21,,,,,,,,,6281.4,
2004-06-28,,,,,,,,,6280.1,
2004-07-01,12305.307,5.5,147.4,318549.0,93.5502,2002.0,8236.9,-51606.0,,96.7
